Timestamp,RunIndex,PlayerId,Frame,StepIndex,NodeName,CellX,CellY,PosX,PosZ,PassCount,UnknownCount,WallCount,LinkCount
20251217_221406.245,1,0,1487,19,Node_51,15,0,15.000,0.000,1,0,0,1
20251217_221406.481,1,0,1545,5,Node_16,17,10,17.000,10.000,3,2,0,2
20251217_221406.502,1,0,1550,5,Node_41,18,9,18.000,9.000,3,1,0,4
20251217_221406.517,1,0,1553,5,Node_28,16,7,16.000,7.000,3,2,0,2
20251217_221406.531,1,0,1556,5,Node_52,21,14,21.000,14.000,1,0,0,1
20251217_221406.584,1,0,1567,20,Node_53,15,-1,15.000,-1.000,1,0,0,1
20251217_221406.807,1,0,1621,6,Node_24,16,10,16.000,10.000,2,1,1,3
20251217_221406.829,1,0,1626,6,Node_4,18,10,18.000,10.000,3,2,0,2
20251217_221406.855,1,0,1632,6,Node_54,16,6,16.000,6.000,1,0,0,1
20251217_221406.870,1,0,1635,6,Node_20,21,15,21.000,15.000,2,2,0,3
20251217_221407.130,1,0,1693,7,Node_21,16,11,16.000,11.000,2,2,0,2
20251217_221407.154,1,0,1697,7,Node_16,17,10,17.000,10.000,4,1,0,4
20251217_221407.195,1,0,1704,7,Node_56,22,15,22.000,15.000,1,0,0,1
20251217_221407.195,1,0,1704,7,Node_57,16,5,16.000,5.000,1,0,0,1
20251217_221407.454,1,0,1760,8,Node_30,15,11,15.000,11.000,2,2,0,3
20251217_221407.477,1,0,1765,8,Node_14,17,11,17.000,11.000,4,1,0,3
20251217_221407.521,1,0,1775,8,Node_58,22,16,22.000,16.000,1,0,0,1
20251217_221407.533,1,0,1777,8,Node_59,16,4,16.000,4.000,1,0,0,1
20251217_221407.794,1,0,1831,9,Node_60,14,11,14.000,11.000,1,0,0,1
20251217_221407.804,1,0,1833,9,Node_21,16,11,16.000,11.000,3,1,0,4
20251217_221407.843,1,0,1841,9,Node_23,21,16,21.000,16.000,2,1,1,3
20251217_221407.871,1,0,1847,9,Node_61,16,3,16.000,3.000,1,0,0,1
20251217_221408.117,1,0,1903,10,Node_62,14,12,14.000,12.000,1,0,0,1
20251217_221408.131,1,0,1906,10,Node_18,16,12,16.000,12.000,2,1,1,2
20251217_221408.165,1,0,1913,10,Node_20,21,15,21.000,15.000,3,0,0,4
20251217_221408.212,1,0,1923,10,Node_63,16,2,16.000,2.000,1,0,0,1
20251217_221408.457,1,0,1976,11,Node_64,14,13,14.000,13.000,1,0,0,1
20251217_221408.458,1,0,1976,11,Node_33,15,12,15.000,12.000,2,3,0,2
20251217_221408.507,1,0,1986,11,Node_52,21,14,21.000,14.000,2,1,1,2
20251217_221408.541,1,0,1992,11,Node_47,15,2,15.000,2.000,2,2,0,3
20251217_221408.781,1,0,2045,12,Node_35,15,13,15.000,13.000,1,3,1,1
20251217_221408.797,1,0,2048,12,Node_65,14,14,14.000,14.000,1,0,0,1
20251217_221408.831,1,0,2054,12,Node_15,20,14,20.000,14.000,2,2,0,3
20251217_221408.881,1,0,2063,12,Node_66,14,2,14.000,2.000,1,0,0,1
20251217_221409.125,1,0,2114,13,Node_67,13,14,13.000,14.000,1,0,0,1
20251217_221409.126,1,0,2114,13,Node_68,15,14,15.000,14.000,1,0,0,1
20251217_221409.172,1,0,2121,13,Node_69,19,14,19.000,14.000,1,0,0,1
20251217_221409.208,1,0,2127,13,Node_70,14,3,14.000,3.000,1,0,0,1
20251217_221409.455,1,0,2171,14,Node_71,13,15,13.000,15.000,1,0,0,1
20251217_221409.466,1,0,2173,14,Node_72,15,15,15.000,15.000,1,0,0,1
20251217_221409.515,1,0,2182,14,Node_73,18,14,18.000,14.000,1,0,0,1
20251217_221409.533,1,0,2185,14,Node_74,13,3,13.000,3.000,1,0,0,1
20251217_221409.791,1,0,2233,15,Node_75,13,16,13.000,16.000,1,0,0,1
20251217_221409.804,1,0,2235,15,Node_76,15,16,15.000,16.000,1,0,0,1
20251217_221410.253,1,0,2238,15,Node_77,18,15,18.000,15.000,1,0,0,1
20251217_221410.256,1,0,2238,16,Node_80,16,16,16.000,16.000,1,0,0,1
20251217_221410.256,1,0,2238,0,Node_2,19,11,19.000,11.000,4,0,0,4
20251217_221410.257,1,0,2238,0,Node_3,19,9,19.000,9.000,4,1,0,3
20251217_221410.257,1,0,2238,0,Node_4,18,10,18.000,10.000,4,1,0,3
20251217_221410.257,1,0,2238,0,Node_5,20,10,20.000,10.000,3,2,0,2
20251217_221410.702,1,0,2308,17,Node_82,16,15,16.000,15.000,1,0,0,1
20251217_221410.703,1,0,2308,1,Node_6,19,12,19.000,12.000,2,1,1,2
20251217_221410.703,1,0,2308,1,Node_42,20,9,20.000,9.000,2,2,0,3
20251217_221410.704,1,0,2308,1,Node_7,19,10,19.000,10.000,2,2,0,3
20251217_221410.704,1,0,2308,1,Node_7,19,10,19.000,10.000,3,1,0,4
20251217_221411.027,1,0,2371,2,Node_11,20,12,20.000,12.000,2,2,0,3
20251217_221411.028,1,0,2371,2,Node_3,19,9,19.000,9.000,5,0,0,4
20251217_221411.044,1,0,2374,18,Node_83,16,14,16.000,14.000,1,0,0,1
20251217_221411.046,1,0,2374,2,Node_84,21,9,21.000,9.000,1,0,0,1
20251217_221411.046,1,0,2374,2,Node_5,20,10,20.000,10.000,4,1,0,3
20251217_221411.353,1,0,2438,3,Node_42,20,9,20.000,9.000,3,0,0,4
20251217_221411.369,1,0,2441,19,Node_68,15,14,15.000,14.000,2,2,0,3
20251217_221411.370,1,0,2441,3,Node_48,21,12,21.000,12.000,2,1,1,3
20251217_221411.371,1,0,2441,3,Node_85,21,10,21.000,10.000,1,0,0,1
20251217_221411.384,1,0,2443,3,Node_85,21,10,21.000,10.000,2,3,0,2
20251217_221411.679,1,0,2510,4,Node_5,20,10,20.000,10.000,5,0,0,4
20251217_221411.699,1,0,2514,4,Node_45,21,11,21.000,11.000,2,2,0,2
20251217_221411.708,1,0,2516,4,Node_45,21,11,21.000,11.000,3,2,0,3
20251217_221411.715,1,0,2517,20,Node_65,14,14,14.000,14.000,2,1,1,3
20251217_221411.715,1,0,2517,4,Node_45,21,11,21.000,11.000,4,1,0,3
20251217_221412.003,1,0,2583,5,Node_85,21,10,21.000,10.000,3,1,0,3
20251217_221412.036,1,0,2590,5,Node_85,21,10,21.000,10.000,4,1,0,3
20251217_221412.037,1,0,2590,5,Node_86,22,11,22.000,11.000,1,0,0,1
20251217_221412.041,1,0,2591,21,Node_64,14,13,14.000,13.000,2,2,0,2
20251217_221412.043,1,0,2591,5,Node_86,22,11,22.000,11.000,2,2,1,1
20251217_221412.343,1,0,2662,6,Node_87,22,10,22.000,10.000,1,0,0,1
20251217_221412.360,1,0,2666,6,Node_87,22,10,22.000,10.000,2,3,0,1
20251217_221412.361,1,0,2666,6,Node_87,22,10,22.000,10.000,3,3,0,2
20251217_221412.367,1,0,2667,22,Node_88,13,13,13.000,13.000,1,0,0,1
20251217_221412.368,1,0,2667,6,Node_87,22,10,22.000,10.000,4,2,0,2
20251217_221412.666,1,0,2735,7,Node_86,22,11,22.000,11.000,3,1,1,2
20251217_221412.688,1,0,2739,7,Node_89,22,9,22.000,9.000,1,0,0,1
20251217_221412.694,1,0,2740,23,Node_67,13,14,13.000,14.000,2,2,0,3
20251217_221412.699,1,0,2741,7,Node_89,22,9,22.000,9.000,2,3,0,1
20251217_221412.706,1,0,2742,7,Node_89,22,9,22.000,9.000,3,3,0,1
20251217_221412.993,1,0,2807,8,Node_90,23,11,23.000,11.000,1,0,0,1
20251217_221413.024,1,0,2814,8,Node_92,22,8,22.000,8.000,1,0,0,1
20251217_221413.038,1,0,2816,8,Node_92,22,8,22.000,8.000,2,2,1,1
20251217_221413.043,1,0,2817,8,Node_92,22,8,22.000,8.000,3,2,1,1
20251217_221413.316,1,0,2888,9,Node_93,23,12,23.000,12.000,1,0,0,1
20251217_221413.368,1,0,2901,9,Node_94,22,7,22.000,7.000,1,0,0,1
20251217_221413.377,1,0,2903,9,Node_94,22,7,22.000,7.000,2,2,1,1
20251217_221413.383,1,0,2904,9,Node_94,22,7,22.000,7.000,3,2,1,1
20251217_221413.640,1,0,2967,10,Node_95,24,12,24.000,12.000,1,0,0,1
20251217_221413.704,1,0,2984,10,Node_96,22,6,22.000,6.000,1,0,0,1
20251217_221413.714,1,0,2986,10,Node_96,22,6,22.000,6.000,2,2,1,1
20251217_221413.724,1,0,2988,10,Node_96,22,6,22.000,6.000,3,2,1,1
20251217_221413.966,1,0,3044,11,Node_97,24,13,24.000,13.000,1,0,0,1
20251217_221414.043,1,0,3060,11,Node_98,22,5,22.000,5.000,1,0,0,1
20251217_221414.057,1,0,3062,11,Node_98,22,5,22.000,5.000,2,2,1,1
20251217_221414.066,1,0,3063,11,Node_98,22,5,22.000,5.000,3,2,1,1
