Timestamp,RunIndex,PlayerId,Frame,StepIndex,NodeName,CellX,CellY,PosX,PosZ,PassCount,UnknownCount,WallCount,LinkCount
20251217_221028.122,1,0,11,0,Node_2,19,11,19.000,11.000,1,0,0,0
20251217_221028.126,1,0,11,0,Node_3,19,9,19.000,9.000,1,0,0,0
20251217_221028.127,1,0,11,0,Node_4,18,10,18.000,10.000,1,0,0,0
20251217_221028.127,1,0,11,0,Node_5,20,10,20.000,10.000,1,0,0,0
20251217_221028.453,1,0,87,1,Node_6,19,12,19.000,12.000,1,0,0,1
20251217_221028.455,1,0,87,1,Node_7,19,10,19.000,10.000,1,0,0,1
20251217_221028.455,1,0,87,1,Node_8,18,11,18.000,11.000,1,0,0,1
20251217_221028.456,1,0,87,1,Node_9,20,11,20.000,11.000,1,0,0,1
20251217_221028.780,1,0,177,2,Node_10,18,12,18.000,12.000,1,0,0,1
20251217_221028.794,1,0,178,2,Node_2,19,11,19.000,11.000,2,3,0,2
20251217_221028.794,1,0,178,2,Node_10,18,12,18.000,12.000,2,2,1,2
20251217_221028.795,1,0,178,2,Node_11,20,12,20.000,12.000,1,0,0,1
20251217_221029.112,1,0,263,3,Node_8,18,11,18.000,11.000,2,2,0,2
20251217_221029.120,1,0,265,3,Node_8,18,11,18.000,11.000,3,2,0,3
20251217_221029.121,1,0,265,3,Node_12,17,12,17.000,12.000,1,0,0,1
20251217_221029.133,1,0,267,3,Node_13,20,13,20.000,13.000,1,0,0,1
20251217_221029.437,1,0,345,4,Node_14,17,11,17.000,11.000,1,0,0,1
20251217_221029.445,1,0,347,4,Node_14,17,11,17.000,11.000,2,3,0,2
20251217_221029.458,1,0,350,4,Node_14,17,11,17.000,11.000,3,2,0,2
20251217_221029.477,1,0,353,4,Node_15,20,14,20.000,14.000,1,0,0,1
20251217_221029.765,1,0,427,5,Node_12,17,12,17.000,12.000,2,1,1,2
20251217_221029.784,1,0,431,5,Node_16,17,10,17.000,10.000,1,0,0,1
20251217_221029.785,1,0,431,5,Node_16,17,10,17.000,10.000,2,3,0,1
20251217_221029.816,1,0,438,5,Node_17,20,15,20.000,15.000,1,0,0,1
20251217_221030.092,1,0,511,6,Node_18,16,12,16.000,12.000,1,0,0,1
20251217_221030.125,1,0,518,6,Node_19,17,9,17.000,9.000,1,0,0,1
20251217_221030.125,1,0,518,6,Node_19,17,9,17.000,9.000,2,2,1,1
20251217_221030.142,1,0,521,6,Node_20,21,15,21.000,15.000,1,0,0,1
20251217_221030.414,1,0,584,7,Node_21,16,11,16.000,11.000,1,0,0,1
20251217_221030.464,1,0,595,7,Node_22,17,8,17.000,8.000,1,0,0,1
20251217_221030.464,1,0,595,7,Node_22,17,8,17.000,8.000,2,3,0,1
20251217_221030.469,1,0,596,7,Node_23,21,16,21.000,16.000,1,0,0,1
20251217_221030.754,1,0,662,8,Node_24,16,10,16.000,10.000,1,0,0,1
20251217_221030.802,1,0,673,8,Node_25,17,7,17.000,7.000,1,0,0,1
20251217_221030.802,1,0,673,8,Node_25,17,7,17.000,7.000,2,1,2,1
20251217_221030.808,1,0,674,8,Node_26,21,17,21.000,17.000,1,0,0,1
20251217_221031.078,1,0,738,9,Node_27,15,10,15.000,10.000,1,0,0,1
20251217_221031.127,1,0,749,9,Node_28,16,7,16.000,7.000,1,0,0,1
20251217_221031.127,1,0,749,9,Node_28,16,7,16.000,7.000,2,3,0,1
20251217_221031.146,1,0,752,9,Node_29,21,18,21.000,18.000,1,0,0,1
20251217_221031.403,1,0,812,10,Node_30,15,11,15.000,11.000,1,0,0,1
20251217_221031.454,1,0,824,10,Node_31,16,8,16.000,8.000,1,0,0,1
20251217_221031.455,1,0,824,10,Node_31,16,8,16.000,8.000,2,2,1,1
20251217_221031.739,1,0,901,11,Node_33,15,12,15.000,12.000,1,0,0,1
20251217_221031.779,1,0,909,11,Node_34,15,8,15.000,8.000,1,0,0,1
20251217_221031.780,1,0,909,11,Node_34,15,8,15.000,8.000,2,1,2,1
20251217_221032.101,1,0,989,12,Node_36,15,7,15.000,7.000,1,0,0,1
20251217_221032.102,1,0,989,12,Node_36,15,7,15.000,7.000,2,3,0,1
20251217_221032.444,1,0,1068,13,Node_37,15,6,15.000,6.000,1,0,0,1
20251217_221032.785,1,0,1139,14,Node_38,15,5,15.000,5.000,1,0,0,1
20251217_221033.100,1,0,1211,0,Node_2,19,11,19.000,11.000,3,1,0,3
20251217_221033.100,1,0,1211,0,Node_3,19,9,19.000,9.000,2,3,0,1
20251217_221033.100,1,0,1211,0,Node_4,18,10,18.000,10.000,2,3,0,1
20251217_221033.101,1,0,1211,0,Node_5,20,10,20.000,10.000,2,3,0,1
20251217_221033.127,1,0,1215,15,Node_39,15,4,15.000,4.000,1,0,0,1
20251217_221033.423,1,0,1283,1,Node_9,20,11,20.000,11.000,2,2,0,3
20251217_221033.424,1,0,1283,1,Node_40,19,8,19.000,8.000,1,0,0,1
20251217_221033.426,1,0,1283,1,Node_41,18,9,18.000,9.000,1,0,0,1
20251217_221033.426,1,0,1283,1,Node_42,20,9,20.000,9.000,1,0,0,1
20251217_221033.460,1,0,1290,16,Node_43,15,3,15.000,3.000,1,0,0,1
20251217_221033.751,1,0,1337,2,Node_44,18,8,18.000,8.000,1,0,0,1
20251217_221033.766,1,0,1340,2,Node_45,21,11,21.000,11.000,1,0,0,1
20251217_221033.767,1,0,1340,2,Node_44,18,8,18.000,8.000,2,2,1,2
20251217_221033.768,1,0,1340,2,Node_46,20,8,20.000,8.000,1,0,0,1
20251217_221033.799,1,0,1347,17,Node_47,15,2,15.000,2.000,1,0,0,1
20251217_221034.076,1,0,1413,3,Node_41,18,9,18.000,9.000,2,2,0,2
20251217_221034.091,1,0,1416,3,Node_48,21,12,21.000,12.000,1,0,0,1
20251217_221034.093,1,0,1416,3,Node_22,17,8,17.000,8.000,3,2,0,3
20251217_221034.093,1,0,1416,3,Node_40,19,8,19.000,8.000,2,1,1,3
20251217_221034.143,1,0,1426,18,Node_49,15,1,15.000,1.000,1,0,0,1
20251217_221034.400,1,0,1490,4,Node_19,17,9,17.000,9.000,3,1,1,3
20251217_221034.414,1,0,1493,4,Node_3,19,9,19.000,9.000,3,2,0,2
20251217_221034.434,1,0,1497,4,Node_50,21,13,21.000,13.000,1,0,0,1
20251217_221034.434,1,0,1497,4,Node_31,16,8,16.000,8.000,3,1,1,3
20251217_221034.479,1,0,1507,19,Node_51,15,0,15.000,0.000,1,0,0,1
20251217_221034.726,1,0,1571,5,Node_16,17,10,17.000,10.000,3,2,0,2
20251217_221034.739,1,0,1574,5,Node_41,18,9,18.000,9.000,3,1,0,4
20251217_221034.759,1,0,1578,5,Node_28,16,7,16.000,7.000,3,2,0,2
20251217_221034.774,1,0,1581,5,Node_52,21,14,21.000,14.000,1,0,0,1
20251217_221034.818,1,0,1591,20,Node_53,15,-1,15.000,-1.000,1,0,0,1
