Timestamp,RunIndex,PlayerId,Frame,StepIndex,NodeName,CellX,CellY,PosX,PosZ,PassCount,UnknownCount,WallCount,LinkCount
20251217_213444.364,1,0,11,0,Node_2,19,11,19.000,11.000,1,0,0,0
20251217_213444.365,1,0,11,0,Node_3,19,9,19.000,9.000,1,0,0,0
20251217_213444.366,1,0,11,0,Node_4,18,10,18.000,10.000,1,0,0,0
20251217_213444.367,1,0,11,0,Node_5,20,10,20.000,10.000,1,0,0,0
20251217_213449.345,1,0,1264,0,Node_2,19,11,19.000,11.000,2,0,0,0
20251217_213449.345,1,0,1264,0,Node_3,19,9,19.000,9.000,2,0,0,0
20251217_213449.345,1,0,1264,0,Node_4,18,10,18.000,10.000,2,0,0,0
20251217_213449.346,1,0,1264,0,Node_5,20,10,20.000,10.000,2,0,0,0
20251217_213454.345,1,0,2536,0,Node_2,19,11,19.000,11.000,3,0,0,0
20251217_213454.356,1,0,2536,0,Node_3,19,9,19.000,9.000,3,0,0,0
20251217_213454.358,1,0,2536,0,Node_4,18,10,18.000,10.000,3,0,0,0
20251217_213454.358,1,0,2536,0,Node_5,20,10,20.000,10.000,3,0,0,0
