PlayerId,Frame,NodeName,NodePosX,NodePosY,NodePosZ
7,1108,Node_11,-10,0,-5
8,1824,Node_12,-10,0,-1
7,2184,Node_11,-10,0,-5
8,2333,Node_11,-10,0,-5
7,2674,Node_12,-10,0,-1
8,2840,Node_13,-6,0,-5
9,2998,Node_12,-10,0,-1
8,3379,Node_13,-6,0,-5
7,3472,Node_12,-10,0,-1
9,3530,Node_11,-10,0,-5
8,3904,Node_11,-10,0,-5
7,3997,Node_12,-10,0,-1
9,4052,Node_13,-6,0,-5
10,4212,Node_12,-10,0,-1
7,4379,Node_14,-10,0,2
8,4412,Node_12,-10,0,-1
9,4565,Node_11,-10,0,-5
10,4721,Node_11,-10,0,-5
8,4804,Node_14,-10,0,2
7,4898,Node_14,-10,0,2
9,5077,Node_12,-10,0,-1
8,5188,Node_10,-7,0,2
