PlayerId,Frame,NodeName,NodePosX,NodePosY,NodePosZ
1,1064,Node_2,-10,0,-5
2,1759,Node_3,-10,0,-1
1,2151,Node_2,-10,0,-5
2,2318,Node_2,-10,0,-5
1,2710,Node_3,-10,0,-1
2,2878,Node_4,-6,0,-5
3,3048,Node_3,-10,0,-1
2,3423,Node_4,-6,0,-5
1,3525,Node_3,-10,0,-1
3,3584,Node_2,-10,0,-5
2,3965,Node_2,-10,0,-5
1,4072,Node_3,-10,0,-1
3,4130,Node_4,-6,0,-5
4,4291,Node_3,-10,0,-1
2,4500,Node_3,-10,0,-1
1,4609,Node_2,-10,0,-5
3,4666,Node_2,-10,0,-5
4,4831,Node_2,-10,0,-5
2,4908,Node_5,-10,0,2
1,5150,Node_4,-6,0,-5
3,5206,Node_3,-10,0,-1
4,5367,Node_4,-6,0,-5
1,5409,Node_6,-6,0,-3
2,5438,Node_5,-10,0,2
5,5525,Node_3,-10,0,-1
3,5585,Node_5,-10,0,2
4,5612,Node_6,-6,0,-3
1,5655,Node_6,-6,0,-3
2,5813,Node_1,-7,0,2
