RunIndex,NodeName,PosX,PosZ,DistanceFromStart,DistanceFromGoal,UnknownCount,WallCount,LinkCount,PassCount,IsDeadEnd,IsBranch
1,Node_55,22,10,4,0,1,0,3,2,0,1
1,Node_54,21,4,9,0,1,1,2,0,0,0
1,Node_53,22,11,3,0,1,1,2,0,0,0
1,Node_52,21,5,8,0,0,0,4,4,0,1
1,Node_51,21,6,7,0,2,0,2,0,0,0
1,Node_50,21,7,6,0,1,1,2,0,0,0
1,Node_49,21,8,5,0,2,0,2,0,0,0
1,Node_48,20,9,3,0,2,0,2,0,0,0
1,Node_47,21,9,4,0,2,0,2,0,0,0
1,Node_46,20,8,4,0,1,1,2,0,0,0
1,Node_45,22,15,7,0,2,1,1,0,1,0
1,Node_44,20,15,5,0,0,2,2,0,0,0
1,Node_43,13,15,10,0,2,1,1,0,1,0
1,Node_42,20,14,4,0,2,0,2,0,0,0
1,Node_41,13,14,9,0,0,0,4,2,0,1
1,Node_40,20,13,3,0,0,1,3,2,0,1
1,Node_39,14,14,8,0,1,1,2,0,0,0
1,Node_38,20,12,2,0,0,0,4,4,0,1
1,Node_37,14,13,7,0,2,0,2,0,0,0
1,Node_36,20,11,1,0,0,0,4,6,0,1
1,Node_35,14,12,6,0,2,0,2,0,0,0
1,Node_34,21,20,11,0,2,1,1,0,1,0
1,Node_33,14,11,5,0,1,0,3,2,0,1
1,Node_32,21,19,10,0,2,0,2,0,0,0
1,Node_31,15,13,6,0,2,1,1,0,1,0
1,Node_30,21,18,9,0,1,1,2,0,0,0
1,Node_29,15,12,5,0,2,0,2,0,0,0
1,Node_28,15,11,4,0,0,0,4,4,0,1
1,Node_27,21,16,7,0,1,1,2,0,0,0
1,Node_26,15,10,5,0,1,1,2,2,0,0
1,Node_25,21,15,6,0,0,0,4,2,0,1
1,Node_24,16,10,4,0,0,1,3,4,0,1
1,Node_23,17,9,4,0,0,1,3,2,0,1
1,Node_22,21,14,5,0,1,1,2,0,0,0
1,Node_21,16,11,3,0,0,0,4,4,0,1
1,Node_20,19,10,1,0,0,0,4,4,0,1
1,Node_19,21,13,4,0,0,1,3,2,0,1
1,Node_18,16,12,4,0,1,1,2,0,0,0
1,Node_17,21,12,3,0,0,1,3,2,0,1
1,Node_16,17,12,3,0,1,1,2,0,0,0
1,Node_15,18,9,3,0,0,0,4,4,0,1
1,Node_14,18,11,1,0,0,0,4,6,0,1
1,Node_13,21,11,2,0,0,0,4,4,0,1
1,Node_12,17,11,2,0,0,0,4,4,0,1
1,Node_11,18,8,4,0,0,1,3,4,0,1
1,Node_10,18,12,2,0,1,1,2,0,0,0
1,Node_9,21,10,3,0,0,0,4,4,0,1
1,Node_8,17,10,3,0,0,0,4,10,0,1
1,Node_7,19,8,3,0,0,1,3,4,0,1
1,Node_6,19,12,1,0,0,1,3,4,0,1
1,Node_5,20,10,2,0,0,0,4,4,0,1
1,Node_4,18,10,2,0,0,0,4,8,0,1
1,Node_3,19,9,2,0,1,0,3,2,0,1
1,Node_2,19,11,0,0,0,0,4,8,0,1
1,Node_1,23,10,2147483647,0,3,1,0,2,0,0
