PlayerId,Frame,NodeName,NodePosX,NodePosY,NodePosZ
1,1179,Node_2,-10,0,-5
2,1929,Node_3,-10,0,-1
1,2342,Node_2,-10,0,-5
2,2521,Node_2,-10,0,-5
1,2933,Node_3,-10,0,-1
2,3114,Node_4,-6,0,-5
3,3291,Node_3,-10,0,-1
2,3689,Node_4,-6,0,-5
1,3800,Node_3,-10,0,-1
3,3851,Node_2,-10,0,-5
2,4238,Node_2,-10,0,-5
1,4349,Node_3,-10,0,-1
3,4410,Node_4,-6,0,-5
4,4586,Node_3,-10,0,-1
2,4807,Node_3,-10,0,-1
1,4920,Node_2,-10,0,-5
3,4981,Node_2,-10,0,-5
4,5015,Node_5,-10,0,2
2,5236,Node_5,-10,0,2
1,5483,Node_4,-6,0,-5
2,5514,Node_8,-10,0,4
3,5543,Node_3,-10,0,-1
4,5575,Node_5,-10,0,2
1,5761,Node_6,-6,0,-3
2,5791,Node_5,-10,0,2
5,5885,Node_3,-10,0,-1
3,5956,Node_5,-10,0,2
4,5986,Node_1,-7,0,2
