PlayerId,Frame,NodeName,NodePosX,NodePosY,NodePosZ
1,1083,Node_2,-10,0,-5
2,1794,Node_3,-10,0,-1
1,2176,Node_2,-10,0,-5
2,2336,Node_2,-10,0,-5
1,2720,Node_3,-10,0,-1
2,2885,Node_4,-6,0,-5
3,3058,Node_3,-10,0,-1
2,3439,Node_4,-6,0,-5
1,3547,Node_3,-10,0,-1
3,3608,Node_2,-10,0,-5
2,3979,Node_2,-10,0,-5
1,4078,Node_3,-10,0,-1
3,4138,Node_4,-6,0,-5
4,4296,Node_3,-10,0,-1
2,4511,Node_3,-10,0,-1
1,4617,Node_2,-10,0,-5
3,4677,Node_2,-10,0,-5
4,4840,Node_2,-10,0,-5
2,4917,Node_5,-10,0,2
1,5159,Node_4,-6,0,-5
3,5215,Node_3,-10,0,-1
4,5374,Node_4,-6,0,-5
1,5422,Node_6,-6,0,-3
2,5450,Node_5,-10,0,2
5,5535,Node_3,-10,0,-1
3,5610,Node_5,-10,0,2
4,5636,Node_6,-6,0,-3
1,5682,Node_6,-6,0,-3
2,5841,Node_1,-7,0,2
7,7288,Node_11,-10,0,-5
8,7968,Node_12,-10,0,-1
7,8356,Node_11,-10,0,-5
8,8521,Node_11,-10,0,-5
7,8906,Node_12,-10,0,-1
8,9064,Node_13,-6,0,-5
9,9233,Node_12,-10,0,-1
8,9609,Node_13,-6,0,-5
7,9719,Node_12,-10,0,-1
9,9776,Node_11,-10,0,-5
8,10157,Node_11,-10,0,-5
7,10263,Node_12,-10,0,-1
9,10321,Node_13,-6,0,-5
10,10481,Node_12,-10,0,-1
7,10668,Node_14,-10,0,2
8,10693,Node_12,-10,0,-1
9,10859,Node_11,-10,0,-5
10,11017,Node_11,-10,0,-5
8,11082,Node_14,-10,0,2
7,11192,Node_14,-10,0,2
9,11375,Node_12,-10,0,-1
8,11466,Node_10,-7,0,2
12,12921,Node_19,-10,0,-5
13,13634,Node_20,-10,0,-1
12,14027,Node_19,-10,0,-5
13,14195,Node_19,-10,0,-5
12,14581,Node_20,-10,0,-1
13,14750,Node_21,-6,0,-5
14,14918,Node_20,-10,0,-1
13,15284,Node_21,-6,0,-5
12,15391,Node_20,-10,0,-1
14,15451,Node_19,-10,0,-5
13,15832,Node_19,-10,0,-5
12,15940,Node_20,-10,0,-1
14,15997,Node_21,-6,0,-5
15,16164,Node_20,-10,0,-1
13,16381,Node_20,-10,0,-1
12,16486,Node_19,-10,0,-5
14,16546,Node_19,-10,0,-5
15,16708,Node_19,-10,0,-5
13,16786,Node_22,-10,0,2
12,17023,Node_21,-6,0,-5
14,17079,Node_20,-10,0,-1
15,17241,Node_21,-6,0,-5
12,17287,Node_23,-6,0,-3
13,17318,Node_22,-10,0,2
16,17399,Node_20,-10,0,-1
14,17463,Node_22,-10,0,2
15,17493,Node_23,-6,0,-3
12,17538,Node_23,-6,0,-3
13,17697,Node_18,-7,0,2
